customer_id,first_payment_date,channel
5568,2020-03-03,2
6763,2020-03-05,2
6816,2020-06-04,2
22350,2020-03-24,2
40800,2020-01-27,2
42970,2020-04-08,2
54560,2020-05-03,2
77430,2020-05-17,2
155646,2020-02-20,2
158526,2020-02-25,2
168156,2020-06-13,2
177056,2020-01-03,2
183816,2020-04-29,2
191676,2020-05-01,2
268640,2020-06-17,2
270360,2020-06-07,2
293360,2020-06-18,2
316560,2020-02-16,2
326380,2020-01-03,2
354520,2020-05-27,2
358110,2020-03-23,2
358430,2020-01-22,2
369990,2020-01-29,2
370580,2020-01-25,2
390660,2020-01-11,2
393180,2020-03-29,2
430360,2020-01-08,2
432900,2020-03-02,2
439330,2020-03-07,2
444770,2020-01-13,2
454350,2020-02-27,2
464260,2020-04-14,2
473492,2020-01-15,2
487642,2020-06-20,2
503632,2020-04-28,2
508482,2020-01-29,2
532892,2020-03-26,2
547062,2020-01-14,2
547162,2020-01-07,2
549682,2020-03-09,2
565112,2020-01-29,2
567262,2020-01-12,2
568622,2020-04-09,2
573082,2020-02-14,2
605802,2020-01-02,2
686412,2020-01-04,2
704862,2020-01-12,2
710992,2020-06-05,2
712892,2020-02-27,2
737722,2020-04-26,2
754692,2020-02-07,2
760692,2020-04-27,2
766092,2020-03-26,2
778342,2020-05-17,2
783222,2020-05-01,2
791402,2020-03-18,2
798902,2020-06-01,2
799442,2020-06-08,2
805932,2020-04-02,2
820392,2020-01-29,2
821072,2020-01-31,2
845222,2020-03-31,2
847792,2020-01-27,2
851632,2020-02-21,2
862852,2020-03-02,2
875042,2020-01-29,2
972876,2020-03-01,2
974566,2020-04-23,2
977806,2020-01-08,2
985356,2020-04-30,2
1016066,2020-01-05,2
1022986,2020-04-18,2
1026266,2020-04-25,2
1028906,2020-01-29,2
1029306,2020-03-22,2
1059986,2020-06-03,2
1074736,2020-01-02,2
1087676,2020-05-13,2
1089376,2020-04-13,2
1094786,2020-05-30,2
1095976,2020-03-10,2
1107296,2020-05-18,2
1121306,2020-05-01,2
1123876,2020-01-20,2
1131066,2020-01-24,2
1132046,2020-05-25,2
1144546,2020-05-15,2
1169686,2020-06-05,2
1234326,2020-05-19,2
1240836,2020-03-02,2
1261256,2020-05-24,2
1263776,2020-03-02,2
1264226,2020-01-12,2
1277336,2020-05-04,2
1452466,2020-05-14,2
1466506,2020-03-20,2
1474036,2020-01-25,2
1486326,2020-03-09,2
1494956,2020-05-18,2
1518546,2020-04-20,2
1525156,2020-02-12,2
1530836,2020-04-04,2
1536466,2020-06-30,2
1540716,2020-01-10,2
1543296,2020-03-28,2
1545316,2020-03-21,2
1545366,2020-01-18,2
1549276,2020-06-05,2
1549346,2020-05-27,2
1558966,2020-02-05,2
1562006,2020-05-23,2
1566766,2020-06-18,2
1585516,2020-05-20,2
1588596,2020-03-02,2
1600516,2020-02-01,2
1614756,2020-03-06,2
1616036,2020-06-04,2
1618126,2020-04-11,2
1626206,2020-04-03,2
1631176,2020-01-03,2
1634866,2020-06-02,2
1641736,2020-02-20,2
1650266,2020-05-31,2
1667386,2020-04-02,2
1671956,2020-01-06,2
1680456,2020-06-22,2
1683186,2020-01-30,2
1690206,2020-03-09,2
1691426,2020-06-29,2
1693346,2020-02-01,2
1696646,2020-03-06,2
1706176,2020-05-31,2
1708556,2020-04-17,2
1708606,2020-06-04,2
1709816,2020-03-26,2
1717266,2020-06-18,2
1720016,2020-04-29,2
1722326,2020-03-06,2
1722906,2020-06-08,2
1725226,2020-01-31,2
1727936,2020-01-29,2
1729056,2020-02-20,2
1751386,2020-05-01,2
1760956,2020-03-03,2
1760996,2020-04-07,2
1763036,2020-03-14,2
1771276,2020-05-06,2
1774966,2020-03-01,2
1778916,2020-06-01,2
1782656,2020-01-22,2
1789496,2020-03-15,2
1792476,2020-02-11,2
1795806,2020-05-19,2
1801106,2020-02-19,2
1804206,2020-06-27,2
1808336,2020-05-14,2
1814346,2020-01-13,2
1826156,2020-02-06,2
1826526,2020-02-17,2
1827556,2020-02-05,2
1828176,2020-01-31,2
1829506,2020-04-19,2
1832436,2020-03-16,2
1846836,2020-05-22,2
1853206,2020-04-11,2
1853876,2020-01-24,2
1854446,2020-04-23,2
1856866,2020-02-20,2
1857976,2020-05-05,2
1858186,2020-05-15,2
1859686,2020-01-25,2
1860316,2020-02-22,2
1866776,2020-02-24,2
1867496,2020-04-01,2
1878296,2020-04-06,2
1880766,2020-03-19,2
1886536,2020-04-17,2
1889526,2020-05-28,2
1897986,2020-04-11,2
1898936,2020-04-20,2
1900286,2020-03-19,2
1901106,2020-03-02,2
1906176,2020-01-15,2
1906406,2020-01-02,2
1909536,2020-03-22,2
1911876,2020-02-23,2
1914806,2020-03-20,2
1924516,2020-06-23,2
1935346,2020-03-13,2
1937186,2020-01-03,2
1944416,2020-02-19,2
1954506,2020-05-09,2
1957016,2020-03-09,2
1959786,2020-02-21,2
1962646,2020-02-27,2
1963786,2020-03-07,2
1970686,2020-02-28,2
1980676,2020-04-18,2
1994466,2020-01-02,2
1997106,2020-03-06,2
1998716,2020-06-26,2
2004896,2020-05-16,2
2006736,2020-01-04,2
2007876,2020-02-07,2
2018566,2020-06-05,2
2018896,2020-05-15,2
2021066,2020-03-01,2
2026436,2020-01-29,2
2028146,2020-01-05,2
2028246,2020-03-10,2
2035426,2020-02-20,2
2045456,2020-01-20,2
2051976,2020-06-25,2
2056086,2020-02-18,2
2059276,2020-01-17,2
2065006,2020-06-01,2
2065926,2020-04-20,2
2069606,2020-01-03,2
2071226,2020-06-06,2
2071456,2020-02-13,2
2074786,2020-01-29,2
2075426,2020-02-27,2
2082936,2020-03-19,2
2084106,2020-02-25,2
2089216,2020-06-25,2
2091076,2020-05-24,1
2094856,2020-03-21,2
2096316,2020-02-14,2
2105016,2020-06-15,2
2107906,2020-06-06,2
2108806,2020-01-08,2
2109636,2020-03-08,2
2111236,2020-05-24,2
2115316,2020-01-11,2
2122256,2020-03-01,2
2126366,2020-01-03,2
2126406,2020-05-15,2
2131256,2020-06-12,2
2132456,2020-04-08,2
2135446,2020-01-23,2
2137136,2020-06-18,2
2138756,2020-02-01,2
2139646,2020-01-15,2
2144836,2020-05-30,2
2157826,2020-04-22,2
2159716,2020-04-26,2
2162396,2020-03-12,2
2165756,2020-01-22,2
2167446,2020-04-22,2
2167536,2020-02-14,2
2169326,2020-03-26,2
2177226,2020-05-25,2
2179136,2020-02-19,2
2180556,2020-03-08,2
2182026,2020-05-14,2
2182486,2020-05-08,2
2182526,2020-03-26,2
2187666,2020-01-06,2
2191046,2020-01-08,2
2193516,2020-05-30,2
2194716,2020-05-30,2
2197186,2020-02-05,2
2206196,2020-04-17,2
2212846,2020-03-29,2
2217776,2020-04-04,2
2218846,2020-06-30,2
2219056,2020-02-18,2
2219396,2020-05-17,2
2224306,2020-01-13,2
2224676,2020-02-02,2
2225536,2020-04-07,2
2228106,2020-03-13,2
2228976,2020-03-08,2
2230076,2020-06-22,2
2249366,2020-03-21,2
2250136,2020-03-21,2
2252476,2020-02-27,2
2253456,2020-05-20,2
2259856,2020-06-02,2
2261766,2020-04-11,2
2262216,2020-06-19,2
2263086,2020-05-14,2
2264366,2020-06-28,2
2269356,2020-02-15,2
2270646,2020-02-19,2
2278126,2020-02-23,2
2283106,2020-05-14,2
2283796,2020-04-12,2
2283906,2020-06-11,2
2284476,2020-06-04,2
2288306,2020-04-05,2
2292536,2020-01-17,2
2293416,2020-06-01,2
2295906,2020-02-24,2
2297206,2020-01-12,2
2301006,2020-04-12,2
2304056,2020-01-15,2
2308596,2020-02-27,2
2309076,2020-02-14,2
2318556,2020-03-27,2
2321416,2020-01-07,2
2323626,2020-01-05,2
2324916,2020-03-22,2
2327136,2020-01-03,2
2329996,2020-05-24,2
2330716,2020-01-08,2
2331916,2020-03-09,2
2335966,2020-06-01,2
2339106,2020-01-04,2
2340446,2020-02-06,2
2341526,2020-03-17,2
2342106,2020-04-04,2
2344836,2020-01-02,2
2346606,2020-02-03,2
2346696,2020-01-17,2
2347536,2020-01-28,2
2353006,2020-04-02,2
2353606,2020-03-12,2
2363596,2020-01-19,2
2365926,2020-02-26,2
2373126,2020-05-30,2
2373746,2020-02-22,2
2377816,2020-03-18,2
2378356,2020-01-29,2
2379116,2020-04-26,2
2380626,2020-01-04,2
2380776,2020-06-25,2
2383986,2020-01-15,2
2386866,2020-04-09,2
2388106,2020-01-16,2
2388356,2020-04-02,2
2389806,2020-05-22,2
2390366,2020-02-17,2
2391626,2020-03-13,2
2392316,2020-05-25,2
2395406,2020-03-19,2
2395566,2020-05-27,2
2396256,2020-04-05,2
2398376,2020-01-27,2
2400746,2020-05-08,1
2401956,2020-03-15,2
2405146,2020-02-05,2
2405726,2020-02-28,2
2406546,2020-01-04,2
2406606,2020-02-22,2
2407446,2020-03-24,2
2410856,2020-03-31,2
2412326,2020-01-31,2
2421866,2020-03-01,2
2422296,2020-03-03,2
2422696,2020-04-09,2
2428646,2020-06-26,1
2428886,2020-03-25,2
2430716,2020-06-12,2
2430816,2020-01-03,2
2433766,2020-01-31,2
2437576,2020-06-02,2
2440246,2020-05-13,2
2442226,2020-06-04,2
2445196,2020-01-08,2
2445356,2020-03-31,2
2446756,2020-01-09,2
2450686,2020-03-30,2
